PeriodId,HierarchyId,KpiId,ActivityGroupId,activity,spend,kpiValue,Enable0SpendDriver,conversionFactor,curveActivityFactor,curveCoefC,curveCoefD,curveGradient,optimalAiringLevel,WeeksOnAir,RetentionRate,AvgWeeklySupportAMP,proxyActivity,proxySpend,proxyRoi,proxyCurveCoefC,proxyCurveCoefD,proxyRetentionRate,proxyWeeksOnAir,proxyAvgWeeklySupportAMP,proxyWeeklyActivityPoint
2,3,4,1,513246.2,12339276.9,,0.0,,,,,,,13.0,0.38,704483.4958,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
3,3,4,1,470158.5,11212811.3,,0.0,,,,,,,13.0,0.38,635287.9788,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
4,3,4,1,504620.2,12098236.9,,0.0,,,,,,,13.0,0.38,681853.353,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
5,3,4,1,2062398.7,49686325.1,,0.0,,,,,,,52.0,0.38,694599.7257,3000000.0,4507000.0,8.1,-0.00025,1.8,0.85,20.0,18.0,180000.0
1,1,1,2,74594.4,1669837.2,0.001,0.0,1.0,,,,,,13.0,0.5,66392.16837,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
2,1,1,2,81172.7,1976457.1,0.001,0.0,1.0,,,,,,10.0,0.5,90313.00026,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
3,1,1,2,132007.9,3247093.3,0.001,0.0,1.0,,,,,,13.0,0.5,215406.1558,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
4,1,1,2,56728.7,1321528.3,0.001,0.0,1.0,,,,,,9.0,0.5,54752.10887,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
5,1,1,2,344503.6,8214915.9,0.001,0.0,1.0,,,,,,45.0,0.5,106715.8583,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
1,2,1,2,74594.4,1669837.2,3385274.98,0.0,1.0,,,,,,13.0,0.5,66392.16837,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
2,2,1,2,81172.7,1976457.1,3962190.79,0.0,1.0,,,,,,10.0,0.5,90313.00026,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
3,2,1,2,132007.9,3247093.3,7132129.93,0.0,1.0,,,,,,13.0,0.5,215406.1558,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
4,2,1,2,56728.7,1321528.3,3185403.88,0.0,1.0,,,,,,9.0,0.5,54752.10887,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
5,2,1,2,344503.6,8214915.9,17664999.57,0.0,1.0,,,,,,45.0,0.5,106715.8583,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
1,3,1,2,74594.4,1669837.2,,0.0,,,,,,,13.0,0.5,66392.16837,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
2,3,1,2,81172.7,1976457.1,,0.0,,,,,,,10.0,0.5,90313.00026,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
3,3,1,2,132007.9,3247093.3,,0.0,,,,,,,13.0,0.5,215406.1558,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
4,3,1,2,56728.7,1321528.3,,0.0,,,,,,,9.0,0.5,54752.10887,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
5,3,1,2,344503.6,8214915.9,,0.0,,,,,,,45.0,0.5,106715.8583,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
1,1,2,2,74594.4,1669837.2,0.001,0.0,1.0,,,,,,13.0,0.5,66392.16837,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
2,1,2,2,81172.7,1976457.1,0.001,0.0,1.0,,,,,,10.0,0.5,90313.00026,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
3,1,2,2,132007.9,3247093.3,0.001,0.0,1.0,,,,,,13.0,0.5,215406.1558,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
4,1,2,2,56728.7,1321528.3,0.001,0.0,1.0,,,,,,9.0,0.5,54752.10887,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
5,1,2,2,344503.6,8214915.9,0.001,0.0,1.0,,,,,,45.0,0.5,106715.8583,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
1,2,2,2,74594.4,1669837.2,1399510.27,0.0,1.0,,,,,,13.0,0.5,66392.16837,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
2,2,2,2,81172.7,1976457.1,1580961.96,0.0,1.0,,,,,,10.0,0.5,90313.00026,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
3,2,2,2,132007.9,3247093.3,2683211.34,0.0,1.0,,,,,,13.0,0.5,215406.1558,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
4,2,2,2,56728.7,1321528.3,1197796.55,0.0,1.0,,,,,,9.0,0.5,54752.10887,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
5,2,2,2,344503.6,8214915.9,6861480.13,0.0,1.0,,,,,,45.0,0.5,106715.8583,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
1,3,2,2,74594.4,1669837.2,,0.0,,,,,,,13.0,0.5,66392.16837,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
2,3,2,2,81172.7,1976457.1,,0.0,,,,,,,10.0,0.5,90313.00026,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
3,3,2,2,132007.9,3247093.3,,0.0,,,,,,,13.0,0.5,215406.1558,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
4,3,2,2,56728.7,1321528.3,,0.0,,,,,,,9.0,0.5,54752.10887,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
5,3,2,2,344503.6,8214915.9,,0.0,,,,,,,45.0,0.5,106715.8583,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
1,1,3,2,74594.4,1669837.2,0.001,0.0,1.0,,,,,,13.0,0.5,66392.16837,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
2,1,3,2,81172.7,1976457.1,0.001,0.0,1.0,,,,,,10.0,0.5,90313.00026,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
3,1,3,2,132007.9,3247093.3,0.001,0.0,1.0,,,,,,13.0,0.5,215406.1558,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
4,1,3,2,56728.7,1321528.3,0.001,0.0,1.0,,,,,,9.0,0.5,54752.10887,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
5,1,3,2,344503.6,8214915.9,0.001,0.0,1.0,,,,,,45.0,0.5,106715.8583,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
1,2,3,2,74594.4,1669837.2,76465.2732,0.0,1.0,,,,,,13.0,0.5,66392.16837,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
2,2,3,2,81172.7,1976457.1,90506.02785,0.0,1.0,,,,,,10.0,0.5,90313.00026,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
3,2,3,2,132007.9,3247093.3,148691.0678,0.0,1.0,,,,,,13.0,0.5,215406.1558,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
4,2,3,2,56728.7,1321528.3,60515.49367,0.0,1.0,,,,,,9.0,0.5,54752.10887,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
5,2,3,2,344503.6,8214915.9,376177.8625,0.0,1.0,,,,,,45.0,0.5,106715.8583,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
1,3,3,2,74594.4,1669837.2,,0.0,,,,,,,13.0,0.5,66392.16837,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
2,3,3,2,81172.7,1976457.1,,0.0,,,,,,,10.0,0.5,90313.00026,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
3,3,3,2,132007.9,3247093.3,,0.0,,,,,,,13.0,0.5,215406.1558,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
4,3,3,2,56728.7,1321528.3,,0.0,,,,,,,9.0,0.5,54752.10887,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
5,3,3,2,344503.6,8214915.9,,0.0,,,,,,,45.0,0.5,106715.8583,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
1,1,4,2,74594.4,1669837.2,0.001,0.0,1.0,,,,,,13.0,0.5,66392.16837,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
2,1,4,2,81172.7,1976457.1,0.001,0.0,1.0,,,,,,10.0,0.5,90313.00026,3000000.0,1854000.0,0.83,-0.00025,1.8,0.85,20.0,30.0,105000.0
